GEOID20,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,af_t_f,am_t_f,pm_t_f,NAME,Totalpop,Hisp,NonHisp,OneRacepop,WhiteAlone,BlackAlone,AIANalone,AsianAlone,NHPIalone,OtherRaceAlone,TwoOrMorepop,geometry,percHisp,percNonHisp,percWhite,percBlack
515400005021005,51,540,000502,1005,Block 1005,G5040,U,15724,U,S,51508,0,+38.0194027,-078.5044114,40,122,92.19338644896035,70.34577607922981,85.43211225220202,"Block 1005, Block Group 1, Census Tract 5.02, Charlottesville city, Virginia",81,4,77,72,62,3,0,7,0,0,5,"list(c(-78.506245, -78.506072, -78.505996, -78.505904, -78.505797, -78.505505, -78.505227, -78.504226, -78.503538, -78.503445, -78.503333, -78.503084, -78.502761, -78.502709, -78.502776, -78.503095, -78.503189, -78.503273, -78.503399, -78.50343, -78.503467, -78.503513, -78.503558, -78.504072, -78.504222, -78.504368, -78.505726, -78.50614, -78.506196, -78.506229, -78.506243, -78.506249, -78.506245, 38.019081, 38.019422, 38.019535, 38.01964, 38.019736, 38.019939, 38.020116, 38.020814, 38.020177, 38.020113, 
38.020054, 38.019965, 38.019866, 38.019847, 38.019706, 38.019133, 38.018941, 38.018746, 38.018375, 38.018325, 38.018296, 38.018276, 38.018266, 38.018278, 38.018297, 38.018331, 38.018791, 38.018921, 38.01895, 38.018986, 38.019018, 38.019045, 38.019081))",4.94,95.06,76.54,3.7
515400005021006,51,540,000502,1006,Block 1006,G5040,U,15724,U,S,21005,0,+38.0202158,-078.5075769,70,182,92.38217243012927,70.28369195120675,86.06473831903367,"Block 1006, Block Group 1, Census Tract 5.02, Charlottesville city, Virginia",157,17,140,136,111,5,0,20,0,0,4,"list(c(-78.508652, -78.507616, -78.507517, -78.50739, -78.506988, -78.506979, -78.506494, -78.506479, -78.506496, -78.506554, -78.507286, -78.507606, -78.50768, -78.508205, -78.508435, -78.508598, -78.508652, 38.020431, 38.021073, 38.021085, 38.021016, 38.020635, 38.020626, 38.020161, 38.020117, 38.020065, 38.019986, 38.019515, 38.01931, 38.019354, 38.019829, 38.02004, 38.020242, 38.020431))",10.83,89.17,70.7,3.18
515400005021007,51,540,000502,1007,Block 1007,G5040,U,15724,U,S,38171,0,+38.0184756,-078.5019182,32,73,92.29097931067564,70.51897992166464,86.46827357120364,"Block 1007, Block Group 1, Census Tract 5.02, Charlottesville city, Virginia",53,0,53,53,51,0,0,2,0,0,0,"list(c(-78.50343, -78.503399, -78.503273, -78.503189, -78.503095, -78.502776, -78.502709, -78.502532, -78.502386, -78.502155, -78.501979, -78.501841, -78.501718, -78.501648, -78.501567, -78.501334, -78.501243, -78.501177, -78.501091, -78.501046, -78.500985, -78.500938, -78.500885, -78.500742, -78.500681, -78.500601, -78.500546, -78.500476, -78.500397, -78.50032, -78.50025, -78.500201, -78.500173, -78.50016, -78.500157, -78.500167, -78.500191, -78.500231, -78.500284, -78.500348, -78.500422, -78.500515, 
-78.500612, -78.500709, -78.500809, -78.500908, -78.50101, -78.501117, -78.501231, -78.501349, -78.501472, -78.501593, -78.501713, -78.501834, -78.501951, -78.502059, -78.502164, -78.502265, -78.502358, -78.502449, -78.502536, -78.50262, -78.50283, -78.502891, -78.502949, -78.503004, -78.503057, -78.50311, -78.503211, -78.503296, -78.503356, -78.503467, -78.50343, 38.018325, 38.018375, 38.018746, 38.018941, 38.019133, 38.019706, 38.019847, 38.019776, 38.019706, 38.01955, 38.019416, 38.019286, 38.019146, 
38.019054, 38.018939, 38.018645, 38.018542, 38.018493, 38.018451, 38.018438, 38.018437, 38.018447, 38.018471, 38.018462, 38.01844, 38.018413, 38.018392, 38.018362, 38.01833, 38.018296, 38.018244, 38.018178, 38.018101, 38.018019, 38.017933, 38.017852, 38.017768, 38.017686, 38.017611, 38.017562, 38.017539, 38.01751, 38.017497, 38.017496, 38.017501, 38.01752, 38.017553, 38.017584, 38.017606, 38.017625, 38.017649, 38.017677, 38.017706, 38.017734, 38.017758, 38.017782, 38.017808, 38.017834, 38.017856, 
38.017882, 38.017912, 38.017937, 38.018034, 38.018063, 38.018085, 38.018109, 38.01813, 38.018152, 38.018187, 38.01823, 38.018234, 38.018296, 38.018325))",0,100,96.23,0
515400005021008,51,540,000502,1008,Block 1008,G5040,U,15724,U,S,34103,0,+38.0202390,-078.5094181,16,48,91.99681672488941,70.2854314916274,85.49335591933307,"Block 1008, Block Group 1, Census Tract 5.02, Charlottesville city, Virginia",33,2,31,31,25,3,0,0,0,3,0,"list(c(-78.510671, -78.510477, -78.51013, -78.510037, -78.509971, -78.509888, -78.509783, -78.509575, -78.509505, -78.509329, -78.509215, -78.509075, -78.508765, -78.508652, -78.508598, -78.508435, -78.508205, -78.508431, -78.508543, -78.508801, -78.510682, -78.510671, 38.019762, 38.020119, 38.02093, 38.021133, 38.021233, 38.021326, 38.021421, 38.021596, 38.021657, 38.02164, 38.021526, 38.021147, 38.020644, 38.020431, 38.020242, 38.02004, 38.019829, 38.019323, 38.019076, 38.019166, 38.019723, 38.019762
))",6.06,93.94,75.76,9.09
515400005021009,51,540,000502,1009,Block 1009,G5040,U,15724,U,S,4672,0,+38.0157310,-078.4986516,0,0,93.18406644780585,70.46032633679978,85.00166726619639,"Block 1009, Block Group 1, Census Tract 5.02, Charlottesville city, Virginia",0,0,0,0,0,0,0,0,0,0,0,"list(c(-78.500147, -78.499277, -78.498877, -78.4985, -78.498217, -78.497959, -78.497672, -78.497581, -78.497382, -78.497279, -78.497417, -78.497509, -78.497957, -78.498386, -78.498731, -78.499382, -78.50005, -78.500147, 38.014421, 38.015182, 38.015538, 38.015901, 38.016194, 38.016486, 38.016833, 38.016948, 38.017201, 38.017127, 38.016952, 38.016835, 38.016299, 38.01584, 38.015509, 38.014929, 38.014345, 38.014421))",NA,NA,NA,NA
515400005022000,51,540,000502,2000,Block 2000,G5040,U,15724,U,S,127071,0,+38.0263369,-078.5063392,126,271,92.99528262141375,70.84364220170944,86.67816801101252,"Block 2000, Block Group 2, Census Tract 5.02, Charlottesville city, Virginia",235,14,221,214,167,25,0,21,0,1,7,"list(c(-78.510448, -78.509734, -78.509134, -78.508331, -78.507698, -78.506944, -78.506304, -78.505683, -78.505517, -78.505412, -78.50529, -78.505266, -78.505206, -78.504884, -78.504651, -78.504564, -78.504466, -78.504312, -78.504101, -78.503908, -78.503744, -78.503655, -78.503581, -78.503516, -78.50346, -78.50343, -78.503403, -78.5033, -78.503261, -78.503214, -78.50344, -78.503671, -78.504341, -78.504697, -78.504818, -78.504926, -78.504992, -78.505038, -78.505117, -78.505222, -78.505311, -78.505424, 
-78.505561, -78.505673, -78.506132, -78.507096, -78.507208, -78.507437, -78.507504, -78.507551, -78.507609, -78.507669, -78.507925, -78.508088, -78.508344, -78.508456, -78.508531, -78.508616, -78.50875, -78.509128, -78.509192, -78.509291, -78.509371, -78.509536, -78.510124, -78.510215, -78.510295, -78.51035, -78.510406, -78.510448, 38.026633, 38.026939, 38.027139, 38.027403, 38.027606, 38.02785, 38.028057, 38.028258, 38.028309, 38.028114, 38.027915, 38.027898, 38.027786, 38.027223, 38.026782, 38.026655, 
38.026546, 38.026401, 38.026234, 38.026067, 38.025908, 38.025813, 38.02571, 38.025578, 38.025321, 38.02521, 38.025098, 38.02451, 38.024367, 38.024251, 38.024213, 38.02419, 38.024162, 38.024843, 38.025045, 38.025203, 38.025283, 38.025313, 38.025351, 38.025387, 38.025405, 38.025416, 38.02541, 38.025389, 38.02524, 38.0249, 38.025158, 38.025681, 38.025794, 38.025844, 38.02589, 38.025925, 38.026023, 38.02608, 38.026156, 38.026174, 38.026174, 38.026162, 38.026134, 38.02602, 38.026008, 38.026008, 38.026023, 
38.026082, 38.026315, 38.026358, 38.026413, 38.026464, 38.026534, 38.026633))",5.96,94.04,71.06,10.64
515400005022001,51,540,000502,2001,Block 2001,G5040,U,15724,U,S,105826,0,+38.0252134,-078.5104152,106,186,93.10472371582723,70.87050070519258,85.72131445006747,"Block 2001, Block Group 2, Census Tract 5.02, Charlottesville city, Virginia",164,4,160,156,120,21,0,14,0,1,4,"list(c(-78.514983, -78.511834, -78.511507, -78.510448, -78.510406, -78.51035, -78.510295, -78.510215, -78.510124, -78.509536, -78.509371, -78.509291, -78.509192, -78.509128, -78.50875, -78.508616, -78.508531, -78.508456, -78.508344, -78.508088, -78.507925, -78.507669, -78.507609, -78.507551, -78.507504, -78.507437, -78.507208, -78.507265, -78.507471, -78.507634, -78.507758, -78.507973, -78.508137, -78.508438, -78.509452, -78.509523, -78.509728, -78.510336, -78.510356, -78.510385, -78.510408, -78.510446, 
-78.510465, -78.510499, -78.510513, -78.510507, -78.510465, -78.511134, -78.511785, -78.511808, -78.512858, -78.514059, -78.514956, -78.514977, -78.514983, 38.025162, 38.026236, 38.026358, 38.026633, 38.026534, 38.026464, 38.026413, 38.026358, 38.026315, 38.026082, 38.026023, 38.026008, 38.026008, 38.02602, 38.026134, 38.026162, 38.026174, 38.026174, 38.026156, 38.02608, 38.026023, 38.025925, 38.02589, 38.025844, 38.025794, 38.025681, 38.025158, 38.025146, 38.025086, 38.025022, 38.024962, 38.024835, 
38.024726, 38.024492, 38.023798, 38.023741, 38.023577, 38.023056, 38.023046, 38.023046, 38.02306, 38.023153, 38.023228, 38.023418, 38.023609, 38.023893, 38.024486, 38.024465, 38.024452, 38.025096, 38.025067, 38.025052, 38.025019, 38.025093, 38.025162))",2.44,97.56,73.17,12.8
515400005022002,51,540,000502,2002,Block 2002,G5040,U,15724,U,S,20520,0,+38.0247289,-078.5134197,32,87,92.55659473532498,70.17729534489094,85.48462246432163,"Block 2002, Block Group 2, Census Tract 5.02, Charlottesville city, Virginia",70,6,64,58,42,4,0,8,0,4,6,"list(c(-78.515003, -78.514977, -78.514956, -78.514059, -78.512858, -78.511808, -78.511785, -78.512875, -78.513669, -78.514397, -78.514847, -78.514839, -78.514989, -78.514994, -78.515003, 38.024726, 38.025093, 38.025019, 38.025052, 38.025067, 38.025096, 38.024452, 38.024424, 38.024396, 38.024387, 38.024374, 38.024225, 38.024199, 38.024367, 38.024726))",8.57,91.43,60,5.71
515400005022003,51,540,000502,2003,Block 2003,G5040,U,15724,U,S,139679,0,+38.0218684,-078.5124408,125,270,91.70904378036444,70.12201960300459,84.47962701722285,"Block 2003, Block Group 2, Census Tract 5.02, Charlottesville city, Virginia",225,18,207,201,168,17,0,16,0,0,6,"list(c(-78.514802, -78.512684, -78.512052, -78.511994, -78.511936, -78.511905, -78.511871, -78.511817, -78.511776, -78.511767, -78.511785, -78.511134, -78.511137, -78.511163, -78.511161, -78.511092, -78.511071, -78.511026, -78.510219, -78.51011, -78.509954, -78.509783, -78.509888, -78.509971, -78.510037, -78.51013, -78.510477, -78.510671, -78.510682, -78.511469, -78.512573, -78.513246, -78.513376, -78.513517, -78.513812, -78.513957, -78.514137, -78.514341, -78.514507, -78.514671, -78.514711, -78.514751, 
-78.514802, 38.023427, 38.023492, 38.023496, 38.023509, 38.023542, 38.023574, 38.023646, 38.023794, 38.023945, 38.024116, 38.024452, 38.024465, 38.024251, 38.02376, 38.023514, 38.022769, 38.02269, 38.022618, 38.021836, 38.021732, 38.021571, 38.021421, 38.021326, 38.021233, 38.021133, 38.02093, 38.020119, 38.019762, 38.019723, 38.019944, 38.020262, 38.020463, 38.020488, 38.020501, 38.020508, 38.020528, 38.02057, 38.020606, 38.020618, 38.020615, 38.021431, 38.022238, 38.023427))",8,92,74.67,7.56
515400005022004,51,540,000502,2004,Block 2004,G5040,U,15724,U,S,54595,0,+38.0235569,-078.5092658,67,122,91.80941083309425,70.30898724855298,84.70712582386324,"Block 2004, Block Group 2, Census Tract 5.02, Charlottesville city, Virginia",95,2,93,88,84,3,0,1,0,0,5,"list(c(-78.511163, -78.511137, -78.511134, -78.510465, -78.510507, -78.510513, -78.510499, -78.510465, -78.510446, -78.510408, -78.510385, -78.510356, -78.510336, -78.509728, -78.509523, -78.509452, -78.508438, -78.508137, -78.507973, -78.507758, -78.507634, -78.507471, -78.507265, -78.507208, -78.507096, -78.506838, -78.507248, -78.507641, -78.508242, -78.508572, -78.508893, -78.50957, -78.509678, -78.50995, -78.510219, -78.511026, -78.511071, -78.511092, -78.511161, -78.511163, 38.02376, 38.024251, 
38.024465, 38.024486, 38.023893, 38.023609, 38.023418, 38.023228, 38.023153, 38.02306, 38.023046, 38.023046, 38.023056, 38.023577, 38.023741, 38.023798, 38.024492, 38.024726, 38.024835, 38.024962, 38.025022, 38.025086, 38.025146, 38.025158, 38.0249, 38.024323, 38.024064, 38.023803, 38.023416, 38.023182, 38.022939, 38.022379, 38.022294, 38.022076, 38.021836, 38.022618, 38.02269, 38.022769, 38.023514, 38.02376))",2.11,97.89,88.42,3.16
515400005022005,51,540,000502,2005,Block 2005,G5040,U,15724,U,S,26952,0,+38.0246355,-078.5057655,31,57,92.99420437096676,70.53982485257663,86.2369131849799,"Block 2005, Block Group 2, Census Tract 5.02, Charlottesville city, Virginia",48,3,45,44,39,3,0,2,0,0,1,"list(c(-78.507096, -78.506132, -78.505673, -78.505561, -78.505424, -78.505311, -78.505222, -78.505117, -78.505038, -78.504992, -78.504926, -78.504818, -78.504697, -78.504341, -78.505242, -78.505616, -78.505728, -78.506128, -78.506391, -78.506549, -78.506628, -78.506838, -78.507096, 38.0249, 38.02524, 38.025389, 38.02541, 38.025416, 38.025405, 38.025387, 38.025351, 38.025313, 38.025283, 38.025203, 38.025045, 38.024843, 38.024162, 38.024133, 38.024114, 38.024097, 38.023952, 38.023844, 38.023772, 38.023878, 
38.024323, 38.0249))",6.25,93.75,81.25,6.25
